team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
India,Bangladesh,Dhaka,214.00000000000006,233.7,232.22105263157894,348
Australia,West Indies,Melbourne,247.0,253.5,247.4157894736842,301
West Indies,Pakistan,Brisbane,205.8,250.1033954142142,214.95263157894735,273
Australia,West Indies,Adelaide,282.90000000000003,338.3333333333333,256.34736842105264,269
West Indies,Pakistan,Adelaide,291.8,261.17230123157685,222.2421052631579,339
Pakistan,West Indies,Perth,130.7,265.0,204.66315789473683,307
Australia,Pakistan,Melbourne,221.09999999999997,319.6,259.92105263157896,237
England,South Africa,Port Elizabeth,198.3,224.5371835443038,221.34736842105264,267
Australia,Pakistan,Sydney,232.7,276.4,253.63684210526316,239
South Africa,England,Cape Town,147.10000000000002,306.1,211.19473684210527,291
South Africa,England,East London,216.3,135.33333333333337,226.7421052631579,311
England,South Africa,Centurion,226.0,231.46606443487212,234.02105263157895,240
Australia,New Zealand,Wellington,237.59999999999997,260.1478110049908,247.41052631578947,236
Australia,New Zealand,Christchurch,262.8,273.923768960325,241.52105263157895,314
Australia,New Zealand,Auckland,306.79999999999995,220.8460834941118,255.22105263157894,264
New Zealand,Australia,Wellington,185.5,283.9,246.52105263157895,233
India,Pakistan,Kochi,228.2,348.066490043586,252.5157894736842,281
India,Pakistan,Visakhapatnam,283.9,337.45002019386106,256.6736842105263,356
Pakistan,India,Jamshedpur,220.1,244.78437939960943,224.28947368421052,319
India,Pakistan,Ahmedabad,346.5,372.95902896226573,279.3421052631579,315
India,Pakistan,Kanpur,377.0,257.83714773794304,282.38421052631577,249
Pakistan,India,Delhi,250.3,229.91282269984276,244.6842105263158,303
West Indies,South Africa,Kingston,329.9,228.88362364524238,233.9578947368421,253
West Indies,South Africa,Kingston,306.6,342.99999999999994,232.07894736842104,152
South Africa,West Indies,Bridgetown,289.59999999999997,246.51610522444818,235.56842105263158,284
West Indies,South Africa,Port of Spain,185.9,187.20000000000002,216.9421052631579,231
West Indies,South Africa,Port of Spain,169.79999999999998,211.0,222.72105263157894,138
