country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
England,0.6666666666666666,486,23,27,18,3.2664046488346785,1
Australia,0.6111111111111112,554,-6,36,22,3.198975409836066,2
India,0.5625,200,11,32,18,2.8047830913206644,3
New Zealand,0.6956521739130435,-87,43,23,16,2.794458398373573,4
South Africa,0.5789473684210527,23,29,19,11,2.4132665786072502,5
Oman,0.7272727272727273,-172,35,11,8,2.2383715631171195,6
West Indies,0.4444444444444444,-179,6,27,12,1.96087005650421,7
Pakistan,0.4583333333333333,37,-11,24,11,1.9053482268037643,8
Nepal,0.5714285714285714,162,1,7,4,1.7903545378576071,9
Namibia,0.5714285714285714,216,-9,7,4,1.7248259034963738,10
Scotland,0.5714285714285714,88,-8,7,4,1.5963567405007788,11
United States of America,0.45454545454545453,68,-15,11,5,1.4350657929141881,12
Bangladesh,0.42105263157894735,-321,1,19,8,1.428156560476779,13
Sri Lanka,0.4,-25,-37,20,8,1.2794631228474735,14
Ireland,0.3888888888888889,-354,-10,18,7,1.167630016958734,15
United Arab Emirates,0.4,-235,-1,10,4,1.1533580036009294,16
Afghanistan,0.1875,-130,-33,16,3,0.7310162726645633,17
Papua New Guinea,0.125,-127,-10,8,1,0.6445237422272472,18
Zimbabwe,0.1111111111111111,-204,-12,9,1,0.5466637551268418,19
