batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
Ahmed Shehzad,Pakistan,83,0.5724137931034483,16.6,7.256554212631874,1.3384507396108691,0,0.006739679865206402,0.3295703454085931,0.03530462508527482,5,2.454358244970967,1
HWR Cartwright,Australia,1,0.06666666666666667,1.0,4.155460768679217,10.0,0,0.0,0.0,0.0,1,2.449578189685431,1
CAK Walton,West Indies,36,0.6666666666666666,12.0,1.0,7.256554212631873,0,0.014989293361884369,0.5113014513442778,0.16012815380508713,3,2.4179864721519047,1
Nasir Hossain,Bangladesh,14,0.7,7.0,2.1656960941645207,8.662839713938807,0,0.0,0.0,0.17677669529663687,2,2.41692031696749,1
PWA Mulder,South Africa,2,0.5,2.0,8.662839713938807,2.1656960941645207,0,0.0005932957579353308,0.5048946900029665,0.0,1,2.4124233004872195,1
MVT Fernando,Sri Lanka,24,0.6153846153846154,4.8,1.8461268490271732,9.451310842526375,0,0.0,0.0,0.34921514788478913,5,2.4039340994313507,1
Mashrafe Mortaza,Bangladesh,64,0.8648648648648649,12.8,2.1656960941645207,6.861611936517781,0,0.0,0.0,0.07988504823630424,5,2.396766864673787,1
CK Kapugedera,Sri Lanka,33,0.5892857142857143,8.25,1.8461268490271732,8.979848481642671,0,0.0,0.0,0.10981940405746922,4,2.394836313140756,1
V Permaul,West Indies,8,1.3333333333333333,8.0,1.0,7.256554212631874,0,0.0,0.0,0.0,1,2.3758406150299307,1
PM Pushpakumara,Sri Lanka,11,0.4230769230769231,5.5,1.8461268490271732,10.0,0,0.0,0.0,0.282842712474619,2,2.375549968769571,1
KW Richardson,Australia,0,0.0,0.0,4.155460768679217,10.0,0,0.0,0.0,0.0,1,2.3708720486495665,1
SL Malinga,Sri Lanka,21,0.6363636363636364,3.5,1.8461268490271732,9.31989898776178,0,0.0,0.0,0.254000254000381,6,2.352254305446703,1
