bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Mitchell Starc,Australia,0.21331114808652243,33.0,2.2,0.05490848585690516,12,7.132983298564889,7.080713548884505,0.2358490566037736,0.2358490566037736,15,10.0,5
Trent Boult,New Zealand,0.21933028919330289,31.0,2.066666666666667,0.0471841704718417,12,10.0,6.522913731404583,0.17218543046357615,0.24392935982339953,15,9.870487197206872,5
Imran Tahir,South Africa,0.20856079404466504,33.0,1.736842105263158,0.04094292803970223,11,8.492026600114938,5.419258524644949,0.25471698113207547,0.2778730703259005,19,9.690648626966427,4
Mustafizur Rahman,Bangladesh,0.23436123348017623,18.0,3.0,0.07929515418502203,4,4.775773092293983,7.006382611527048,0.22857142857142856,0.45714285714285713,6,9.220100864150472,4
Tim Southee,New Zealand,0.1593419506462985,26.0,1.625,0.03055229142185664,11,10.0,6.813971358959752,0.152317880794702,0.2354003612281758,16,8.781907889197447,4
Steven Finn,England,0.1648616125150421,28.0,1.75,0.03369434416365824,6,7.266790801339121,8.07079846619867,0.19318181818181818,0.32196969696969696,16,8.601958326077511,4
Kagiso Rabada,South Africa,0.2049411764705882,21.0,2.1,0.04941176470588235,6,8.492026600114938,6.193101239157773,0.14150943396226415,0.2830188679245283,10,8.211930337965148,4
Dale Steyn,South Africa,0.20369822485207098,26.0,1.625,0.038461538461538464,10,8.492026600114938,5.539912043210754,0.14150943396226415,0.16981132075471697,16,8.136729357554957,4
Mitchell McClenaghan,New Zealand,0.15826771653543306,22.0,1.5714285714285714,0.028871391076115485,9,10.0,7.687020277466759,0.11258278145695365,0.21265636497424575,14,8.131942186364833,4
Corey Anderson,New Zealand,0.14947589098532496,20.0,1.4285714285714286,0.041928721174004195,11,10.0,6.876943484620846,0.11258278145695365,0.1739915713425647,14,8.015309918733195,4
Adam Milne,New Zealand,0.1971631205673759,18.0,1.2857142857142858,0.031914893617021274,10,10.0,6.8961311643648315,0.09271523178807947,0.15761589403973508,14,7.679118163439836,4
James Faulkner,Australia,0.1904494382022472,16.0,1.7777777777777777,0.0449438202247191,8,7.132983298564889,6.652972136285771,0.1509433962264151,0.22641509433962262,9,7.67142385767302,4
Matt Henry,New Zealand,0.17858719646799118,17.0,1.8888888888888888,0.037527593818984545,4,10.0,7.685935386008306,0.06622516556291391,0.2814569536423841,9,7.530268123599643,4
David Willey,England,0.17899761336515513,17.0,1.8888888888888888,0.0405727923627685,6,7.266790801339121,6.408994435410403,0.14772727272727273,0.2462121212121212,9,7.459443244196802,4
Moeen Ali,England,0.21137309292649098,21.0,1.2352941176470589,0.02912621359223301,7,7.266790801339121,5.975852851186254,0.14772727272727273,0.21103896103896103,17,7.2954823846894845,4
Mitchell Johnson,Australia,0.1873015873015873,13.0,1.8571428571428572,0.04126984126984127,6,7.132983298564889,7.36692588276493,0.12264150943396226,0.2452830188679245,7,7.292452936665386,4
Adil Rashid,England,0.16389244558258642,19.0,1.3571428571428572,0.024327784891165175,8,7.266790801339121,7.0771357010277365,0.14772727272727273,0.18465909090909088,14,7.252099610033456,4
Rubel Hossain,Bangladesh,0.17927756653992394,17.0,1.4166666666666667,0.03231939163498099,8,4.775773092293983,6.212954258987055,0.2,0.2,12,7.079376389870399,4
Morne Morkel,South Africa,0.2032442748091603,21.0,1.6153846153846154,0.04007633587786259,7,8.492026600114938,4.105606810599055,0.10377358490566038,0.1778975741239892,13,7.070888534282548,4
Mitchell Marsh,Australia,0.19202898550724637,14.0,1.5555555555555556,0.050724637681159424,5,7.132983298564889,7.3764749147014435,0.10377358490566038,0.2490566037735849,9,7.052953259202172,4
Grant Elliott,New Zealand,0.15597964376590331,14.0,0.875,0.035623409669211195,11,10.0,7.207538123476431,0.06622516556291391,0.10234798314268512,16,6.96813950348474,4
Glenn Maxwell,Australia,0.18105263157894738,15.0,1.0714285714285714,0.031578947368421054,11,7.132983298564889,7.192140329309173,0.10377358490566038,0.11320754716981131,14,6.942559306086489,4
Mohammed Shami,India,0.21155115511551154,13.0,1.625,0.0429042904290429,4,5.520738622939159,5.8026367153259875,0.171875,0.30078125,8,6.9382127145834644,4
Doug Bracewell,New Zealand,0.2080808080808081,8.0,1.6,0.04040404040404041,3,10.0,8.293059714053665,0.046357615894039736,0.26269315673289184,5,6.89923742637704,4
Pat Cummins,Australia,0.17805429864253391,16.0,1.7777777777777777,0.03619909502262444,6,7.132983298564889,7.3764749147014435,0.07547169811320754,0.1509433962264151,9,6.727332939467868,4
Mohammad Irfan,Pakistan,0.18938307030129126,18.0,1.2857142857142858,0.02582496413199426,5,3.3537458303909613,7.491571717510097,0.20930232558139536,0.20930232558139536,14,6.716499045385792,4
Umesh Yadav,India,0.16666666666666666,19.0,1.7272727272727273,0.03518518518518519,6,5.520738622939159,5.971809300553329,0.140625,0.1640625,11,6.6717664404703605,4
Chris Woakes,England,0.1735723771580345,19.0,1.1875,0.025232403718459494,6,7.266790801339121,6.082720742064783,0.11363636363636363,0.1893939393939394,16,6.597975365074414,4
Shakib Al Hasan,Bangladesh,0.2172348484848485,16.0,1.2307692307692308,0.030303030303030304,8,4.775773092293983,6.388267515996893,0.14285714285714285,0.14285714285714285,13,6.597491346062071,4
Vernon Philander,South Africa,0.18374558303886926,10.0,1.4285714285714286,0.0353356890459364,4,8.492026600114938,5.50296266041988,0.09433962264150944,0.2830188679245283,7,6.477179071859266,4
