country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
England,0.7368421052631579,481,28,19,14,5.0,1
India,0.6521739130434783,290,23,23,15,4.703255617860335,2
Australia,0.6956521739130435,494,0,23,16,4.638285989915262,3
New Zealand,0.6842105263157895,-38,34,19,13,4.21233649265164,4
West Indies,0.45454545454545453,-12,1,22,10,3.240098498494822,5
United States of America,0.7142857142857143,195,-1,7,5,3.011546222165573,6
South Africa,0.5,-51,12,14,7,2.919799329977611,7
Namibia,0.75,172,-1,4,3,2.837696335078534,8
Pakistan,0.4090909090909091,11,-17,22,9,2.791841582097639,9
Nepal,0.6666666666666666,145,1,3,2,2.563929900170031,10
Scotland,0.5714285714285714,88,-8,7,4,2.361732726962268,11
Ireland,0.46153846153846156,-354,-1,13,6,2.0234676183902636,12
Bangladesh,0.35294117647058826,-494,1,17,6,1.8922180949617606,13
Sri Lanka,0.29411764705882354,-192,-38,17,5,1.3980523203709188,14
Afghanistan,0.1875,-130,-33,16,3,1.2657362670662111,15
United Arab Emirates,0.2857142857142857,-243,-4,7,2,1.259072117593018,16
Zimbabwe,0.2,-5,-6,5,1,1.223100621201663,17
Papua New Guinea,0.125,-127,-10,8,1,1.0,18
