batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,correlation,no_of_matches_batsman,batsman_score,batsman_quantile
Virat Kohli,India,1045,1.0019175455417066,80.38461538461539,9.871368852058248,5.011161980802683,4,0.2552973342447027,1.0476858345021038,0.22447203322428255,13,10.0,5
Rohit Sharma,India,1003,1.004004004004004,59.0,9.871368852058248,4.549475152546809,2,0.33253588516746413,1.0428724544480172,0.36286874034122657,17,8.845945505063469,5
Jason Roy,England,836,1.0555555555555556,41.8,10.000000000000002,3.6987849541421105,3,0.1608695652173913,1.0950155763239875,0.4851356520897923,20,7.9129628459855805,5
Jonny Bairstow,England,895,1.1415816326530612,44.75,10.000000000000002,3.9887679608293127,1,0.16361556064073227,1.1513687600644122,0.648226952349914,20,7.406468023515132,4
Joe Root,England,892,0.8305400372439479,40.54545454545455,10.000000000000002,4.040410001015403,2,0.16155606407322654,0.812428078250863,0.27616741513343307,22,7.2353025968872755,4
Shikhar Dhawan,India,741,1.0192572214580469,43.588235294117645,9.871368852058248,4.549475152546809,1,0.17669172932330826,1.038152610441767,0.16850792651895058,17,7.077818151122724,4
Jos Buttler,England,671,1.1353637901861253,37.27777777777778,10.000000000000002,3.603446570949421,2,0.12334096109839816,1.1492537313432836,0.033262675277223305,18,7.07250562456292,4
Eoin Morgan,England,722,0.9256410256410257,36.1,10.000000000000002,4.137420323885794,2,0.15034324942791763,0.9605263157894737,0.03823503947426731,20,7.019310633288321,4
Ross Taylor,New Zealand,639,0.8887343532684284,63.9,5.04195208743842,3.7,2,0.2601820795400096,0.9476439790575916,0.398265309234457,10,6.837777302062426,4
Mushfiqur Rahim,Bangladesh,622,0.8591160220994475,47.84615384615385,5.097985921430424,3.8253901372338963,2,0.24387397899649943,0.9789227166276346,0.327668654492727,13,6.430254558209951,4
Shai Hope,West Indies,519,0.7947932618683001,51.9,1.7933354114031586,7.007339093681554,1,0.34146341463414637,0.8866666666666667,0.3774952169747895,10,6.164855962079031,4
Tamim Iqbal,Bangladesh,524,0.7507163323782235,52.4,5.097985921430424,2.8987334079924176,2,0.24037339556592766,0.7953667953667953,0.6630851634077995,10,5.966718182508413,4
Shimron Hetmyer,West Indies,392,1.0798898071625345,39.2,1.7933354114031586,7.007339093681554,1,0.22593068035943517,1.4193548387096775,0.6357685071682975,10,5.827940271251999,4
Dasun Shanaka,Sri Lanka,206,1.1907514450867052,29.428571428571427,4.556830402876305,7.774558184243501,1,0.08702928870292886,1.7333333333333334,0.4844607523012048,7,5.73311806310168,4
Martin Guptill,New Zealand,423,0.7318339100346021,42.3,5.04195208743842,5.500000000000001,2,0.15476760900814565,0.7708830548926014,-0.4628444925009014,10,5.703354446662387,4
David Miller,South Africa,384,0.9746192893401016,32.0,4.661960684137039,6.027959608086374,1,0.17158931082981715,1.2079207920792079,0.6101757762468167,12,5.582526970814227,4
Niroshan Dickwella,Sri Lanka,408,0.8755364806866953,37.09090909090909,4.556830402876305,6.682343205776914,1,0.1790794979079498,0.84251968503937,0.6312610951722872,11,5.555685703778559,4
Ben Stokes,England,313,0.769041769041769,31.3,10.000000000000002,5.862298934993751,1,0.04187643020594966,0.8356164383561644,-0.7606202834311369,10,5.505762558735655,4
James Vince,England,27,1.0,27.0,10.000000000000002,9.871368852058248,0,0.006178489702517162,1.0,0.01,1,5.4677831697829475,4
Shardul Thakur,India,22,1.6923076923076923,22.0,9.871368852058248,10.000000000000002,0,0.0,0.0,0.01,1,5.458608773543341,4
Alex Hales,England,405,0.916289592760181,31.153846153846153,10.000000000000002,2.307188023896756,1,0.0919908466819222,0.9370629370629371,0.7076167480092523,13,5.38209580489229,4
Jean-Paul Duminy,South Africa,326,1.0516129032258064,32.6,4.661960684137039,7.2140996274672755,0,0.13150492264416316,1.289655172413793,0.5525548160416467,10,5.267954997058576,4
Aaron Finch,Australia,493,0.8947368421052632,44.81818181818182,1.5837831417466806,8.54417109567374,1,0.09927360774818401,0.6507936507936508,0.536523364359428,11,5.247492223427577,4
Faf du Plessis,South Africa,408,0.9577464788732394,58.285714285714285,4.661960684137039,4.0418870694181726,0,0.16947960618846694,0.9678714859437751,0.2964680033977206,7,5.217046917312502,4
Kane Williamson,New Zealand,468,0.7597402597402597,42.54545454545455,5.04195208743842,4.2727272727272725,1,0.16339242932438908,0.7662921348314606,0.31192705751541483,11,5.1853464846920945,4
Colin de Grandhomme,New Zealand,178,1.1866666666666668,19.77777777777778,5.04195208743842,6.000000000000001,1,0.061332055582175374,1.620253164556962,0.13919178657243392,9,5.0731384702215205,4
Shaun Marsh,Australia,416,1.0196078431372548,59.42857142857143,1.5837831417466806,8.47484590975344,0,0.053268765133171914,0.8461538461538461,0.9481801317817166,7,5.050243554444309,4
Travis Head,Australia,339,0.9313186813186813,28.25,1.5837831417466806,8.665490171034262,0,0.25181598062953997,0.9122807017543859,-0.11639132895986593,12,5.025247158546107,4
Moeen Ali,England,231,0.84,14.4375,10.000000000000002,3.63976894049403,2,0.02425629290617849,0.8217054263565892,-0.5585477591988007,16,5.016830902702813,4
Fakhar Zaman,Pakistan,271,0.808955223880597,30.11111111111111,1.0,6.12138179446416,0,0.43564356435643564,1.0,0.2085862016098103,9,5.007339713235957,4
Shakib Al Hasan,Bangladesh,377,0.921760391198044,37.7,5.097985921430424,3.706536752057926,1,0.13477246207701282,0.9058823529411765,0.659000610541523,10,4.969199884348763,4
Chris Woakes,England,205,1.0789473684210527,29.285714285714285,10.000000000000002,3.4905765843473717,0,0.02585812356979405,1.2840909090909092,-0.5833974027002916,7,4.918921578246492,4
Quinton de Kock,South Africa,327,0.9108635097493036,32.7,4.661960684137039,4.727823914373806,1,0.13150492264416316,0.9739583333333334,-0.39205296192388434,10,4.907704516340424,4
Tom Curran,England,71,1.1451612903225807,11.833333333333334,10.000000000000002,3.808375491447487,1,0.002974828375286041,1.4444444444444444,0.1282392010742363,6,4.885042925062891,4
Andrew Tye,Australia,57,1.1875,8.142857142857142,1.5837831417466806,10.000000000000002,0,0.007263922518159807,3.0,-0.15557489984310416,7,4.879782950933405,4
Sadeera Samarawickrama,Sri Lanka,90,1.0112359550561798,30.0,4.556830402876305,10.000000000000002,0,0.045188284518828455,1.125,0.2779053071539699,3,4.865746597591062,4
Hashim Amla,South Africa,315,0.9130434782608695,28.636363636363637,4.661960684137039,7.455669556975547,0,0.10829817158931083,0.9871794871794872,0.5067292531888328,11,4.811871618421509,4
Dinesh Chandimal,Sri Lanka,226,0.7847222222222222,37.666666666666664,4.556830402876305,8.365995307143475,0,0.10460251046025104,0.8503401360544217,0.8626853160579091,6,4.789344523423772,4
AB de Villiers,South Africa,62,1.0508474576271187,20.666666666666668,4.661960684137039,9.871368852058248,0,0.01828410689170183,1.4444444444444444,0.777713771047819,3,4.734531316673147,4
Trent Boult,New Zealand,26,1.3,5.2,5.04195208743842,4.6000000000000005,2,0.010062290368950648,1.75,0.876460476408022,5,4.66646935779679,4
MS Dhoni,India,247,0.7264705882352941,24.7,9.871368852058248,5.243048540221532,0,0.04066985645933014,0.7391304347826086,-0.25149067247695533,10,4.592736407775635,4
Mitchell Santner,New Zealand,230,1.0360360360360361,32.857142857142854,5.04195208743842,6.142857142857144,0,0.02827024436990896,1.3111111111111111,-0.6723117853763834,7,4.582067075755649,4
David Willey,England,111,1.088235294117647,15.857142857142858,10.000000000000002,4.445688908363091,0,0.02265446224256293,1.1123595505617978,-0.26278752017348556,7,4.562846477354852,4
Mitchell Marsh,Australia,186,0.8532110091743119,37.2,1.5837831417466806,10.000000000000002,0,0.0774818401937046,1.0666666666666667,0.604925044270569,5,4.547644601339458,4
Suresh Raina,India,47,0.7014925373134329,23.5,9.871368852058248,10.000000000000002,0,0.0,0.0,-1.0,2,4.538037762262343,4
Colin Munro,New Zealand,254,1.1705069124423964,21.166666666666668,5.04195208743842,4.75,0,0.09151892668902731,1.3741007194244603,0.29181052134221386,12,4.5285077773456806,4
Kusal Mendis,Sri Lanka,194,1.0264550264550265,17.636363636363637,4.556830402876305,6.236705562270589,0,0.11380753138075314,1.3877551020408163,0.6979106347949515,11,4.4955196291326445,4
Olly Stone,England,9,1.2857142857142858,9.0,10.000000000000002,4.556830402876305,0,0.002059496567505721,1.2857142857142858,0.01,1,4.4893216996543766,4
Ajinkya Rahane,India,140,0.7692307692307693,28.0,9.871368852058248,4.661960684137039,0,0.045112781954887216,0.7904191616766467,-0.3089866459785374,5,4.468371737889232,3
Upul Tharanga,Sri Lanka,240,0.8304498269896193,24.0,4.556830402876305,5.370174710640692,1,0.12552301255230125,0.7692307692307693,-0.01065005936564034,10,4.464657085407936,3
Thisara Perera,Sri Lanka,284,1.0923076923076922,23.666666666666668,4.556830402876305,6.550313432081373,0,0.06443514644351464,0.9390243902439024,0.05001314270377073,12,4.448027234029987,3
Kusal Perera,Sri Lanka,221,1.0231481481481481,27.625,4.556830402876305,5.438221907943257,0,0.049372384937238493,1.5128205128205128,0.12099483145862851,8,4.416169327795727,3
Tom Latham,New Zealand,299,0.8768328445747801,27.181818181818183,5.04195208743842,5.090909090909091,0,0.1274556780067082,0.9568345323741008,0.5086009503981938,11,4.402415692160228,3
Ambati Rayudu,India,202,0.8669527896995708,28.857142857142858,9.871368852058248,2.5108540110100463,0,0.06151742993848257,0.8737864077669902,0.6924764055033711,7,4.390661869478689,3
Akila Dananjaya,Sri Lanka,151,0.9320987654320988,15.1,4.556830402876305,6.350577526354606,1,0.03430962343096234,1.3225806451612903,0.1847664780686154,10,4.376800689201095,3
Angelo Mathews,Sri Lanka,251,0.7968253968253968,41.833333333333336,4.556830402876305,4.73463155701927,0,0.099581589958159,0.9916666666666667,0.4794040107359484,6,4.306094871781494,3
Heinrich Klaasen,South Africa,147,0.8855421686746988,16.333333333333332,4.661960684137039,5.927831737691737,1,0.03234880450070324,1.3529411764705883,0.039199852834625834,9,4.299364977749336,3
Hardik Pandya,India,68,0.8717948717948718,11.333333333333334,9.871368852058248,6.441307122758026,0,0.00580997949419002,0.7727272727272727,-0.4409107218050098,6,4.274998670803278,3
Marcus Stoinis,Australia,376,0.9665809768637532,28.923076923076923,1.5837831417466806,8.768144773262396,0,0.0387409200968523,0.8,0.2578783750668207,13,4.26133780732243,3
Andile Phehlukwayo,South Africa,130,0.896551724137931,14.444444444444445,4.661960684137039,7.50935176353294,0,0.0379746835443038,1.542857142857143,0.5016925297424256,9,4.24626243562809,3
Dinesh Karthik,India,90,0.7317073170731707,22.5,9.871368852058248,5.298992960715212,0,0.023581681476418318,0.6831683168316832,0.2464636841864469,4,4.209217944080795,3
Dhananjaya de Silva,Sri Lanka,199,0.8923766816143498,24.875,4.556830402876305,7.385483496730194,0,0.049372384937238493,0.8939393939393939,0.27491378939195393,8,4.208504215880705,3
Kedar Jadhav,India,40,1.0810810810810811,13.333333333333334,9.871368852058248,3.8510940056568743,0,0.01367053998632946,1.0810810810810811,-0.33268478473182583,3,4.198324180713769,3
Shreyas Iyer,India,48,0.8275862068965517,24.0,9.871368852058248,4.661960684137039,0,0.010252904989747095,0.8108108108108109,-1.0,2,4.169022532653844,3
KL Rahul,India,9,0.45,4.5,9.871368852058248,10.000000000000002,0,0.0030758714969241286,0.5,1.0,2,4.11817625382425,3
Ashley Nurse,West Indies,65,1.0317460317460319,10.833333333333334,1.7933354114031586,7.484677386744335,1,0.055198973042362,1.4333333333333333,0.07460493756882089,6,4.0840140622681735,3
Bhuvneshwar Kumar,India,92,0.7131782945736435,15.333333333333334,9.871368852058248,5.14620056420745,0,0.019138755980861243,0.8,-0.3498658551003353,6,4.062676577996109,3
Aiden Markram,South Africa,237,0.8618181818181818,19.75,4.661960684137039,6.470837812184871,0,0.06540084388185655,0.8532110091743119,-0.0017115028156319992,12,4.018286082551118,3
Liton Das,Bangladesh,206,0.8015564202334631,29.428571428571427,5.097985921430424,4.382796334457469,1,0.040840140023337225,0.6363636363636364,-0.15889917683649932,7,4.006265861256215,3
Mahmudullah,Bangladesh,316,0.7707317073170732,26.333333333333332,5.097985921430424,3.994728031053125,0,0.07876312718786464,1.0465116279069768,0.028336323277665647,12,3.970980830560885,3
Reeza Hendricks,South Africa,172,0.7818181818181819,28.666666666666668,4.661960684137039,3.070306772311493,1,0.10829817158931083,0.8148148148148148,0.5898710011420967,6,3.949246739860178,3
Liam Dawson,England,4,1.0,4.0,10.000000000000002,4.556830402876305,0,0.0009153318077803204,1.0,0.01,1,3.92351127307973,3
Mohammad Mithun,Bangladesh,144,0.7128712871287128,28.8,5.097985921430424,5.971279701973822,0,0.07176196032672112,0.8092105263157895,0.7393942086973566,5,3.8969616235706868,3
David Warner,Australia,73,0.948051948051948,14.6,1.5837831417466806,10.000000000000002,0,0.031476997578692496,1.1818181818181819,-0.2067557762377808,5,3.8686033057208826,3
Adil Rashid,England,106,0.8153846153846154,11.777777777777779,10.000000000000002,3.93378515551938,0,0.014187643020594966,0.7209302325581395,0.02036458514053935,9,3.84464483461489,3
Alex Carey,Australia,199,0.7865612648221344,33.166666666666664,1.5837831417466806,7.330980342068521,0,0.11380145278450363,0.6527777777777778,-0.5082862521855898,6,3.8214439829987734,3
Tim Paine,Australia,153,0.8181818181818182,17.0,1.5837831417466806,10.000000000000002,0,0.06053268765133172,0.8064516129032258,0.141826572092247,9,3.8198426491470414,3
Glenn Maxwell,Australia,207,0.9857142857142858,29.571428571428573,1.5837831417466806,7.712268864630161,0,0.03631961259079903,0.7894736842105263,0.2534796768798748,7,3.80565065222424,3
Siddarth Kaul,India,1,0.5,1.0,9.871368852058248,10.000000000000002,0,0.0,0.0,0.01,1,3.7868815089899046,3
Jason Holder,West Indies,182,0.8387096774193549,26.0,1.7933354114031586,7.825633310360608,0,0.05006418485237484,0.8863636363636364,-0.2885138065262491,7,3.711553776263859,3
Chris Morris,South Africa,69,0.971830985915493,17.25,4.661960684137039,9.871368852058248,0,0.0,0.0,0.6271899833042416,4,3.7070474374944204,3
Ravindra Jadeja,India,30,0.8108108108108109,15.0,9.871368852058248,3.4456606664167913,0,0.010252904989747095,0.8108108108108109,-1.0,2,3.703997979221943,3
Khaya Zondo,South Africa,96,0.6114649681528662,32.0,4.661960684137039,9.871368852058248,0,0.0,0.0,0.5672174070723288,3,3.700920314130382,3
Ish Sodhi,New Zealand,44,1.1,11.0,5.04195208743842,5.500000000000001,0,0.011499760421657882,1.263157894736842,0.6532211245221001,4,3.6697853159563474,3
Tim Southee,New Zealand,96,1.032258064516129,10.666666666666666,5.04195208743842,5.000000000000001,0,0.028749401054144707,1.1764705882352942,0.2299108030522513,9,3.6031952597945587,3
Rishabh Pant,India,24,1.3333333333333333,24.0,9.871368852058248,1.7933354114031586,0,0.0,0.0,0.01,1,3.5981655921806404,3
Soumya Sarkar,Bangladesh,138,0.9078947368421053,27.6,5.097985921430424,3.250275017253545,0,0.057759626604434074,1.0,-0.6347205735217245,5,3.598003303510981,3
Henry Nicholls,New Zealand,205,0.7269503546099291,18.636363636363637,5.04195208743842,5.090909090909091,0,0.05558217537134643,0.8787878787878788,-0.02488359866871371,11,3.5955792455815034,3
Yuzvendra Chahal,India,15,0.8823529411764706,7.5,9.871368852058248,5.89666770570158,0,0.0,0.0,-1.0,2,3.556726681730442,3
Lasith Malinga,Sri Lanka,9,1.5,3.0,4.556830402876305,8.365995307143477,0,0.0,0.0,0.7727244586435384,3,3.5348801814115225,3
Kuldeep Yadav,India,30,0.5357142857142857,6.0,9.871368852058248,5.243048540221532,0,0.0023923444976076554,0.7777777777777778,-0.6443748060091645,5,3.527880555176674,3
Mark Wood,England,6,0.75,1.5,10.000000000000002,5.384764042170442,0,0.0002288329519450801,0.5,0.35656641737717865,4,3.4942313276454717,3
Chris Gayle,West Indies,142,0.8658536585365854,47.333333333333336,1.7933354114031586,5.097985921430424,0,0.037227214377406934,0.7631578947368421,0.4822528298727855,3,3.4903474219886483,3
Sabbir Rahman,Bangladesh,63,1.105263157894737,10.5,5.097985921430424,3.1750829071397324,0,0.022753792298716453,1.56,0.47799486566531446,6,3.479454323780687,3
Danushka Gunathilaka,Sri Lanka,41,0.8913043478260869,20.5,4.556830402876305,5.097985921430424,0,0.03430962343096234,0.8913043478260869,-1.0,2,3.36766600875018,3
Babar Azam,Pakistan,134,0.6175115207373272,13.4,1.0,6.013438823761586,0,0.22772277227722773,0.92,-0.12868231820349088,10,3.365856917979756,3
Ashton Agar,Australia,130,0.9027777777777778,26.0,1.5837831417466806,10.000000000000002,0,0.0,0.0,0.37029751379046033,5,3.3656995281272835,2
Mashrafe Mortaza,Bangladesh,112,0.8615384615384616,11.2,5.097985921430424,4.435006554983119,0,0.038506417736289385,1.0819672131147542,0.2696142341303376,10,3.358020624565322,2
Shehan Madushanka,Sri Lanka,7,1.1666666666666667,7.0,4.556830402876305,5.097985921430424,0,0.005857740585774059,1.1666666666666667,0.01,1,3.348527189558248,2
Todd Astle,New Zealand,5,1.6666666666666667,2.5,5.04195208743842,1.0,0,0.0023957834211787254,1.6666666666666667,-1.0,2,3.3397951281971983,2
Mehidy Hasan Miraz,Bangladesh,116,0.703030303030303,19.333333333333332,5.097985921430424,5.274955653545378,0,0.01575262543757293,0.84375,-0.16409552090805118,6,3.3122983173945766,2
Mohammad Hafeez,Pakistan,175,0.8101851851851852,25.0,1.0,5.04195208743842,0,0.13366336633663367,0.8709677419354839,0.5721402705383749,7,3.293277770962388,2
Umesh Yadav,India,0,0.0,0.0,9.871368852058248,10.000000000000002,0,0.0,0.0,0.01,1,3.2631736957070876,2
Morne Morkel,South Africa,22,0.8461538461538461,5.5,4.661960684137039,9.871368852058248,0,0.0,0.0,0.023934859895744273,4,3.2569984445260456,2
Kieran Powell,West Indies,90,0.7894736842105263,15.0,1.7933354114031586,8.280241208515639,0,0.026957637997432605,0.84,0.7268917227548253,6,3.2504068945173357,2
Sam Curran,England,17,0.5862068965517241,8.5,10.000000000000002,3.070306772311493,0,0.003432494279176201,0.7142857142857143,1.0,2,3.1931519786360525,2
Rovman Powell,West Indies,177,0.7629310344827587,17.7,1.7933354114031586,7.007339093681554,0,0.06290115532734275,0.5764705882352941,0.37393351694230387,10,3.173064083621262,2
Steven Smith,Australia,102,0.6891891891891891,20.4,1.5837831417466806,10.000000000000002,0,0.009685230024213076,0.25,0.7313974914960554,5,3.1671283891973756,2
