batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,correlation,no_of_matches_batsman,batsman_score,batsman_quantile
Rahat Ali,Pakistan,8,0.22857142857142856,1.6,3.3537458303909613,7.344322647533221,0,0.0008230452674897119,0.16666666666666666,-0.3815760562726187,5,2.3511235148707814,1
Sohail Khan,Pakistan,15,0.4411764705882353,3.75,3.3537458303909613,5.536437130404747,0,0.0024691358024691358,0.2727272727272727,0.7711526460232991,4,2.305052258959102,1
Iftikhar Ahmed,Pakistan,8,0.25806451612903225,4.0,3.3537458303909613,7.266790801339121,0,0.0,0.0,-1.0,2,2.302753117586714,1
Sunil Narine,West Indies,9,0.6,4.5,1.0,8.16041512334615,0,0.0,0.0,-1.0,2,2.2764531068595604,1
Jermaine Blackwood,West Indies,11,0.4782608695652174,5.5,1.0,8.16041512334615,0,0.0,0.0,1.0,2,2.2272126483844756,1
Ravi Rampaul,West Indies,3,0.6,1.5,1.0,8.16041512334615,0,0.0,0.0,-1.0,2,2.203833824848815,1
Jason Mohammed,West Indies,4,0.4,4.0,1.0,8.16041512334615,0,0.0,0.0,0.01,1,2.1385743242067514,1
Fawad Alam,Pakistan,18,0.5294117647058824,6.0,3.3537458303909613,4.775773092293983,0,0.0,0.0,0.7205766921228921,3,2.105080193960734,1
Junaid Khan,Pakistan,4,0.6666666666666666,2.0,3.3537458303909613,4.775773092293983,0,0.0,0.0,0.0,2,2.0833930060173227,1
Andre Fletcher,West Indies,9,0.3,3.0,1.0,8.16041512334615,0,0.0,0.0,-0.1346107176272129,3,2.062983975394522,1
Zulfiqar Babar,Pakistan,1,0.25,1.0,3.3537458303909613,4.775773092293983,0,0.0,0.0,0.01,1,1.8065276613100814,1
Saeed Ajmal,Pakistan,0,0.0,0.0,3.3537458303909613,4.775773092293983,0,0.0,0.0,0.01,1,1.6327710147539678,1
Umar Gul,Pakistan,0,0.0,0.0,3.3537458303909613,4.775773092293983,0,0.0,0.0,0.01,1,1.6327710147539678,1
Kemar Roach,West Indies,0,0.0,0.0,1.0,5.520738622939159,0,0.0,0.0,0.01,1,1.3631601250360557,1
Nasir Jamshed,Pakistan,0,0.0,0.0,3.3537458303909613,1.0,0,0.0,0.0,0.01,1,1.0,1
