country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
Sri Lanka,0.6785714285714286,345,6,28,19,5.0,1
South Africa,0.7058823529411765,253,26,17,12,4.791061120870614,2
India,0.6111111111111112,153,34,18,11,4.709067589800386,3
Australia,0.7058823529411765,407,3,17,12,4.423002167471127,4
West Indies,0.5833333333333334,319,4,12,7,3.7744524842680995,5
New Zealand,0.5833333333333334,-77,2,12,7,3.2401544825795057,6
Scotland,0.6,170,1,5,3,3.1480429621318597,7
Pakistan,0.35714285714285715,-39,-7,14,5,2.6810084871860624,8
Netherlands,0.5,0,4,2,1,2.6142092523488856,9
Kenya,0.5,0,1,2,1,2.5415563516034814,10
Bangladesh,0.3333333333333333,-74,-16,15,5,2.4253128814086775,11
Ireland,0.4,-79,-2,5,2,2.323877378030904,12
Afghanistan,0.4,1,-25,10,4,2.1565344458058355,13
England,0.2857142857142857,-263,-31,21,6,2.073777206921185,14
Zimbabwe,0.13333333333333333,-876,-3,15,2,1.310139302817753,15
Hong Kong,0.0,0,-2,1,0,1.295581527554607,16
Canada,0.0,-170,-8,2,0,1.0,17
