country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
New Zealand,0.6785714285714286,300,38,28,19,5.0,1
Australia,0.8235294117647058,687,34,17,14,4.82416621230595,2
South Africa,0.7,1077,10,20,14,4.572186231827538,3
Bangladesh,0.6875,264,17,16,11,3.8556202114835116,4
India,0.6190476190476191,187,11,21,13,3.8336554532817484,5
Pakistan,0.4583333333333333,-312,3,24,11,3.1904864530731434,6
England,0.45454545454545453,240,-12,22,10,3.1702144524781284,7
Hong Kong,1.0,89,0,1,1,2.9773424829220954,8
Sri Lanka,0.42857142857142855,-86,-17,21,9,2.7097832550941288,9
Afghanistan,0.5384615384615384,-352,-2,13,7,2.562309311162098,10
Ireland,0.45454545454545453,-267,-11,11,5,2.192835345248974,11
Zimbabwe,0.19230769230769232,-817,-12,26,5,2.1747309090790603,12
West Indies,0.3,-529,-10,10,3,1.726670558528205,13
Scotland,0.1111111111111111,-117,-28,9,1,1.310324382757013,14
United Arab Emirates,0.0,-364,-21,7,0,1.0,15
