batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score
RG Sharma,India,1482,0.8738207547169812,57.0,2.8047830913206644,2.6662224738210867,6,0.20835022294284555,0.9661183630841542,0.020906781269295634,5.44936736463846
AJ Finch,Australia,1814,0.8445065176908753,50.388888888888886,3.1989754098360663,2.5132596694020863,4,0.225314040387979,0.930576876851931,0.02267836823581117,5.300717642368104
V Kohli,India,1452,0.9260204081632653,48.4,2.8047830913206644,2.7237722982410015,4,0.20814754762869883,0.9961744808456461,0.027362596724797933,5.027887217970038
DA Warner,Australia,1112,0.895330112721417,50.54545454545455,3.1989754098360663,2.532161779207742,4,0.13308952138654795,0.9306302575671127,0.020951130392048784,4.749354318279471
JM Bairstow,England,1154,1.0078602620087336,46.16,3.2664046488346785,2.1280474988518976,4,0.16532874617737003,1.0455415117214366,0.024839016320113334,4.74458222719533
GJ Maxwell,Australia,988,1.3279569892473118,35.285714285714285,3.1989754098360663,2.50440687369693,3,0.11893782795356972,1.5398327112087897,0.0330745711496221,4.658972180114164
JJ Roy,England,930,1.1164465786314526,48.94736842105263,3.2664046488346785,2.216269605075616,3,0.16896024464831805,1.0892683129723821,0.021209241026489856,4.600951968433888
LRPL Taylor,New Zealand,1102,0.8915857605177994,50.09090909090909,2.7944583983735733,2.2120062247318844,3,0.2293897882938979,0.9825335196060458,0.026178105217037485,4.526041700853911
SD Hope,West Indies,1512,0.7582748244734202,56.0,1.9608700565042099,1.9424757398438102,3,0.251520572450805,0.8125036293306109,0.02286440893534142,4.360635880283143
Aqib Ilyas,Oman,621,0.795134443021767,56.45454545454545,2.2383715631171195,1.4123283125084833,4,0.33911965282083073,1.1359770082880658,0.029451628741525314,4.265898372310208
UT Khawaja,Australia,1085,0.8314176245210728,49.31818181818182,3.1989754098360663,2.297671491864414,2,0.14024487199872793,0.8666549840526306,0.028710280854261718,4.260519026716718
SPD Smith,Australia,947,0.9441674975074775,49.8421052631579,3.1989754098360663,2.4162286945298046,2,0.07012243599936396,1.1209302849971676,0.023504113476721898,4.22576041017391
Q de Kock,South Africa,746,0.966321243523316,43.88235294117647,2.4132665786072502,2.379788871048265,3,0.1991638160395287,1.1880731311909027,0.02851491686249873,4.200665835809532
MJ Guptill,New Zealand,843,0.9429530201342282,38.31818181818182,2.7944583983735733,2.142673498892194,3,0.18480697384806974,1.0769345616919976,0.02387251271798233,4.145209152804975
JC Buttler,England,620,1.316348195329087,34.44444444444444,3.2664046488346785,2.206217710937026,2,0.07951070336391437,1.5103998879473353,0.022886921027004486,4.092397565668747
EJG Morgan,England,1032,1.0595482546201231,41.28,3.2664046488346785,2.0963178972700782,1,0.14277522935779816,1.0999881060584544,0.0262518436414768,4.088164125790114
JE Root,England,1009,0.8945035460992907,42.041666666666664,3.2664046488346785,2.1988031526743224,1,0.14946483180428136,0.8772246083607409,0.029840800703431675,3.9855748436855527
Shakib Al Hasan,Bangladesh,746,0.9325,67.81818181818181,1.428156560476779,2.196772073901084,3,0.17371937639198218,0.9820204553808896,0.03344194266409504,3.9829428069070714
Babar Azam,Pakistan,1055,0.9189895470383276,55.526315789473685,1.9053482268037645,2.219162452158604,1,0.24824191279887484,0.9989991043197686,0.02948501785211682,3.9812940285053666
KS Williamson,New Zealand,895,0.7502095557418273,47.10526315789474,2.7944583983735733,2.190863905314913,2,0.16961394769613947,0.819703602898067,0.02730671850921118,3.944213866887561
KL Rahul,India,958,0.9012229539040452,45.61904761904762,2.8047830913206644,2.5586392515062095,1,0.11876773408998784,0.9538755889113544,0.025477003189324044,3.9367552761442344
F du Plessis,South Africa,714,0.8803945745992602,54.92307692307692,2.4132665786072502,2.017847962111286,2,0.17711896617255796,1.0251856200443306,0.030074991792637073,3.9030404447446516
S Dhawan,India,760,0.9200968523002422,40.0,2.8047830913206644,3.0724608373582356,1,0.08370490474260235,0.980517061013235,0.02349421036943282,3.876647841667388
H Klaasen,South Africa,242,1.0476190476190477,60.5,2.4132665786072502,2.8755686140779906,1,0.0919802356518434,1.1638884364083908,0.019721909504608663,3.816904786828584
AT Carey,Australia,892,0.941921858500528,28.774193548387096,3.1989754098360663,2.5911635222439258,1,0.07505167753219907,0.9993642926792619,0.03935115534657114,3.7499493414588607
HH Pandya,India,471,1.1214285714285714,36.23076923076923,2.8047830913206644,2.481419544184611,1,0.0526955816781516,1.4801664696506982,0.034039890194124754,3.643671943151803
AJ Turner,Australia,142,1.2347826086956522,28.4,3.1989754098360663,2.8047830913206644,1,0.016536810303704883,1.6136965039645152,0.031430072410727185,3.631830245560802
CH Gayle,West Indies,666,1.0918032786885246,55.5,1.9608700565042099,2.5395186938746903,0,0.06583184257602863,1.4006292023934366,0.019458788576341684,3.566632480652448
BA Stokes,England,635,0.905848787446505,39.6875,3.2664046488346785,2.004741413991405,1,0.06823394495412843,0.9433342889908258,0.028969539153973455,3.527795186097185
