batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score,batsman_quantile
Saad Ali,Pakistan,11,0.4782608695652174,5.5,1.9791734609476543,3.4241371531694114,0,0.0,0.0,0.47140452079103173,1.6742986205835544,2
Mehedi Hasan Miraz,Bangladesh,169,0.9337016574585635,15.363636363636363,0.6692514474772538,2.2236417101959627,0,0.00458295142071494,1.7445768408188207,0.07208350796767482,1.6717582152323192,2
JO Holder,West Indies,257,0.9345454545454546,19.76923076923077,0.8532234432234432,2.5073613318030192,0,0.003978779840848806,0.5112732095490716,0.05142137132618491,1.6688510168907635,2
DM de Silva,Sri Lanka,238,0.6858789625360231,21.636363636363637,0.8184408602150538,2.2463937919363137,0,0.03934669636228656,0.886181564338663,0.08885658327674108,1.6648647116803694,2
MA Wood,England,12,0.8,3.0,3.1736080586080586,1.7687437293888908,0,0.0,0.0,0.21320071635561041,1.616031519111556,2
RR Hendricks,South Africa,124,0.6888888888888889,17.714285714285715,1.7985702469573437,1.4817166320622541,0,0.048703352308665404,0.8307940777313118,0.05591002000008269,1.6150693389270092,2
Mohammad Mithun,Bangladesh,235,0.6891495601173021,26.11111111111111,0.6692514474772538,1.889184423700553,0,0.05866177818515124,0.8814704037821409,0.04373275420752002,1.6041647945864983,2
Mohammad Saifuddin,Bangladesh,180,0.8333333333333334,25.714285714285715,0.6692514474772538,2.9090336852088003,0,0.0,0.0,0.04845557506540913,1.5913244795785513,2
Shadab Khan,Pakistan,67,0.6568627450980392,9.571428571428571,1.9791734609476543,1.6986234195911616,0,0.013876040703052728,1.2360350103180815,0.11302089465110965,1.5806637212888641,2
DM Bravo,West Indies,159,0.8368421052631579,19.875,0.8532234432234432,2.0851700047264563,0,0.042440318302387266,0.5364177936252555,0.04653230473702656,1.5272099787787874,2
Mosaddek Hossain,Bangladesh,107,0.781021897810219,15.285714285714286,0.6692514474772538,2.1538217542825837,0,0.02383134738771769,1.3607699358386802,0.1201786840231456,1.5025845992397002,2
K Rabada,South Africa,61,0.782051282051282,10.166666666666666,1.7985702469573437,2.033475708878935,0,0.0018975332068311196,0.5556609740670462,0.08778461838072005,1.49512260471248,2
E Lewis,West Indies,124,0.7167630057803468,20.666666666666668,0.8532234432234432,2.88945373622793,0,0.0,0.0,0.0368438063091806,1.4899732754965946,2
SW Ambris,West Indies,106,0.848,21.2,0.8532234432234432,1.8638715370650853,0,0.011936339522546418,1.1503647214854111,0.07103104024370561,1.4881107207049415,1
Mohammad Amir,Pakistan,17,0.6071428571428571,4.25,1.9791734609476543,1.686295572706863,0,0.0037002775208140612,1.4283071230342275,0.2857142857142857,1.4625691973154584,1
DL Chahar,India,6,0.75,6.0,3.581206965077933,0.8532234432234432,0,0.0,0.0,0.0,1.456291988433582,1
Sabbir Rahman,Bangladesh,272,0.8023598820058997,30.22222222222222,0.6692514474772538,2.115091736220769,0,0.0,0.0,0.029380717299141716,1.4360386936026472,1
SL Malinga,Sri Lanka,57,0.7037037037037037,5.181818181818182,0.8184408602150538,2.3718659053556412,1,0.005196733481811433,0.6534892353377878,0.1589834434591151,1.4055655752233054,1
D Bishoo,West Indies,9,1.0,4.5,0.8532234432234432,3.1736080586080586,0,0.0,0.0,0.15713484026367722,1.4016214148769337,1
M Bhanuka,Sri Lanka,36,0.9,36.0,0.8184408602150538,1.9791734609476543,0,0.0,0.0,0.0,1.3774061593778786,1
AD Russell,West Indies,36,1.2,12.0,0.8532234432234432,2.4223322197515746,0,0.0,0.0,0.09245003270420485,1.3462257066591996,1
RL Chase,West Indies,112,0.7567567567567568,28.0,0.8532234432234432,2.1252292062775933,0,0.0,0.0,0.04829922287175594,1.3322607443275638,1
N Pradeep,Sri Lanka,11,0.5238095238095238,1.8333333333333333,0.8184408602150538,2.8831423594326817,0,0.0007423904974016332,1.1202672605790647,0.4316658473017156,1.3235376077718646,1
L Ngidi,South Africa,13,0.5909090909090909,4.333333333333333,1.7985702469573437,1.990407459923589,0,0.003795066413662239,0.6061756080731412,0.34641016151377546,1.3047603460483277,1
S Prasanna,Sri Lanka,16,0.8888888888888888,8.0,0.8184408602150538,2.9073118279569887,0,0.0,0.0,0.08838834764831843,1.3043168477351759,1
TAM Siriwardana,Sri Lanka,3,0.6,3.0,0.8184408602150538,3.4241371531694114,0,0.0,0.0,0.0,1.286497749956123,1
