bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Lasith Malinga,Sri Lanka,0.1679194630872483,29.0,1.8125,0.038926174496644296,11,10.0,4.1891521442689985,0.1761006289308176,0.28816466552315606,16,10.000000000000002,4
Ajantha Mendis,Sri Lanka,0.15931122448979593,32.0,2.1333333333333333,0.04081632653061224,9,10.0,5.153720367028068,0.13836477987421383,0.27672955974842767,15,9.951004440238465,4
Matt Henry,New Zealand,0.19310344827586207,19.0,3.1666666666666665,0.06551724137931035,4,4.8544791037059785,4.497917295364234,0.20588235294117646,0.4632352941176471,6,9.755449345459375,4
Mohammed Shami,India,0.16265206812652067,36.0,2.4,0.043795620437956206,6,8.63618583076338,4.837589554941091,0.13559322033898305,0.2937853107344633,15,9.722093915444162,4
Sachithra Senanayake,Sri Lanka,0.22507739938080495,26.0,1.5294117647058822,0.04024767801857585,12,10.0,4.051566607165947,0.11949685534591195,0.1792452830188679,17,9.330424157170915,4
Axar Patel,India,0.2221830985915493,14.0,2.0,0.04929577464788732,7,8.63618583076338,7.935231290752774,0.11864406779661017,0.22033898305084745,7,9.1499322151691,4
Morne Morkel,South Africa,0.17115689381933438,23.0,1.9166666666666667,0.03645007923930269,7,4.664920985568322,6.730014288953716,0.24615384615384617,0.2461538461538461,12,9.129005195960405,4
Umesh Yadav,India,0.1868766404199475,17.0,1.8888888888888888,0.04461942257217848,8,8.63618583076338,6.238970659526949,0.13559322033898305,0.22033898305084745,9,8.891550360383286,4
Chris Jordan,England,0.17401129943502824,28.0,1.6470588235294117,0.031638418079096044,5,5.057497865203703,8.382652944221789,0.16,0.256,17,8.796634826513214,4
Stuart Binny,India,0.21709401709401707,9.0,1.8,0.07692307692307693,3,8.63618583076338,7.170895820741196,0.07627118644067797,0.3305084745762712,5,8.504543943534054,4
Thisara Perera,Sri Lanka,0.17307692307692307,21.0,0.9130434782608695,0.027851458885941646,14,10.0,4.929786700044653,0.1069182389937107,0.137466307277628,23,8.492715039376904,4
Chris Woakes,England,0.16363636363636364,19.0,1.7272727272727273,0.034545454545454546,3,5.057497865203703,9.504067574823047,0.12,0.32,11,8.306672921180851,4
Ravichandran Ashwin,India,0.20556309362279512,20.0,1.25,0.027137042062415198,8,8.63618583076338,6.182749138644257,0.11016949152542373,0.17902542372881355,16,8.298747266177035,4
Saeed Ajmal,Pakistan,0.23529411764705882,10.0,2.0,0.053475935828877004,2,3.421599238963425,7.927237166152676,0.15151515151515152,0.3787878787878788,5,8.288745525791585,4
Dale Steyn,South Africa,0.18702290076335878,18.0,1.5,0.03435114503816794,7,4.664920985568322,6.730014288953716,0.2,0.19999999999999998,12,8.23397213924504,4
Tillakaratne Dilshan,Sri Lanka,0.19315789473684208,17.0,0.8947368421052632,0.02982456140350877,9,10.0,5.765072177646422,0.09433962264150944,0.18867924528301885,19,8.123370831142193,4
Ravindra Jadeja,India,0.1905972045743329,21.0,1.3125,0.026683608640406607,7,8.63618583076338,5.160240207757273,0.11016949152542373,0.20460048426150124,16,8.07313945798674,4
Dhawal Kulkarni,India,0.1858695652173913,8.0,2.0,0.043478260869565216,4,8.63618583076338,8.764374466300925,0.06779661016949153,0.22033898305084745,4,8.067689017760564,4
Nathan Coulter-Nile,Australia,0.18528610354223432,15.0,1.875,0.04087193460490463,6,5.864459037147522,4.910281535340435,0.14583333333333334,0.2916666666666667,8,8.047510996543522,4
Angelo Mathews,Sri Lanka,0.21612403100775196,18.0,0.6666666666666666,0.027906976744186046,16,10.0,5.055364918079237,0.050314465408805034,0.056603773584905655,27,8.011665429665667,4
Suranga Lakmal,Sri Lanka,0.24302788844621515,12.0,1.7142857142857142,0.04780876494023904,6,10.0,3.430813153362565,0.07547169811320754,0.22641509433962262,7,7.989562343283658,4
Imran Tahir,South Africa,0.22371364653243847,15.0,1.3636363636363635,0.03355704697986577,7,4.664920985568322,6.808701130027007,0.16923076923076924,0.1692307692307692,11,7.901912636132042,4
Mohammad Irfan,Pakistan,0.18880597014925374,15.0,1.3636363636363635,0.027985074626865673,3,3.421599238963425,6.533252057270223,0.21212121212121213,0.3535353535353536,11,7.871661611160712,4
Mitchell McClenaghan,New Zealand,0.16365030674846623,16.0,1.2307692307692308,0.024539877300613498,8,4.8544791037059785,5.476987642757853,0.19117647058823528,0.21507352941176472,13,7.659282308308401,4
Dwayne Bravo,West Indies,0.17371937639198218,17.0,1.5454545454545454,0.0378619153674833,5,4.546619035269417,5.240408036274472,0.1875,0.225,11,7.6301232870277085,4
James Tredwell,England,0.22755681818181817,19.0,1.0,0.026988636363636364,7,5.057497865203703,8.27062061629163,0.10666666666666667,0.1219047619047619,19,7.608663035996785,4
Mahela Jayawardene,Sri Lanka,0.3,1.0,1.0,0.2,1,10.0,5.057497865203703,0.006289308176100629,0.11320754716981131,1,7.59543275214018,4
James Faulkner,Australia,0.16904761904761906,18.0,1.5,0.030612244897959183,9,5.864459037147522,4.517664248765173,0.13541666666666666,0.18055555555555555,12,7.590814896620553,4
Wahab Riaz,Pakistan,0.16212121212121214,13.0,1.625,0.03282828282828283,3,3.421599238963425,7.036544423176622,0.18181818181818182,0.30303030303030304,8,7.513575250750312,4
Ryan McLaren,South Africa,0.16198704103671707,15.0,1.6666666666666667,0.032397408207343416,4,4.664920985568322,7.130752698827065,0.13846153846153847,0.24230769230769228,9,7.477816306873306,4
Ravi Rampaul,West Indies,0.17876543209876544,13.0,1.4444444444444444,0.03209876543209877,5,4.546619035269417,4.47770492898265,0.20833333333333334,0.25,9,7.4446248686880265,4
Rangana Herath,Sri Lanka,0.19768115942028985,13.0,1.4444444444444444,0.03768115942028986,5,10.0,4.46857866983079,0.05660377358490566,0.20377358490566036,9,7.419052214769517,4
Glenn Maxwell,Australia,0.20068337129840547,15.0,1.0,0.03416856492027335,11,5.864459037147522,4.547115596125803,0.125,0.13636363636363635,15,7.374512760374363,4
Dhammika Prasad,Sri Lanka,0.16153846153846155,12.0,1.2,0.03076923076923077,6,10.0,5.20389580917124,0.06289308176100629,0.18867924528301885,10,7.212643876704477,4
Mitchell Johnson,Australia,0.19647058823529412,13.0,1.4444444444444444,0.03058823529411765,5,5.864459037147522,4.4758665706862075,0.11458333333333333,0.275,9,7.2079537273294365,4
Vernon Philander,South Africa,0.20526315789473684,13.0,1.8571428571428572,0.0456140350877193,4,4.664920985568322,6.7574764741220745,0.09230769230769231,0.16153846153846152,7,7.162856309290189,4
Nikita Miller,West Indies,0.20754716981132076,8.0,1.6,0.03773584905660377,1,4.546619035269417,4.935686608305068,0.08333333333333333,0.5,5,7.137086953891435,4
James Anderson,England,0.23006134969325154,10.0,1.1111111111111112,0.03067484662576687,3,5.057497865203703,9.39386036922817,0.06666666666666667,0.17777777777777778,9,6.968347050451006,3
