bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
A Zampa,Australia,-0.9044117647058824,50,1.7857142857142858,0.03387533875338753,17,3.1989754098360663,2.497944153269013,0.10670731707317073,0.23227752639517343,6.156795554136462
Mohammed Shami,India,-0.974477958236659,47,2.0434782608695654,0.0373015873015873,14,2.8047830913206644,2.7319389660660853,0.1320754716981132,0.27108433734939763,6.140584656828667
PJ Cummins,Australia,-0.8448389217619987,46,1.7037037037037037,0.0357976653696498,17,3.1989754098360663,2.563835416569265,0.10670731707317073,0.23227752639517343,6.10613344194059
MA Starc,Australia,-0.9713114754098361,39,1.8571428571428572,0.03291139240506329,13,3.1989754098360663,2.537823455426813,0.09451219512195122,0.26903353057199214,5.770597066810926
AU Rashid,England,-0.9984362783424551,36,1.5,0.028191072826938137,17,3.2664046488346785,2.083111702214363,0.12075471698113208,0.21176470588235294,5.594565980264564
TA Boult,New Zealand,-0.7714285714285715,38,2.0,0.04264870931537598,12,2.7944583983735733,2.118409877375761,0.10480349344978165,0.21768707482993196,5.543247527674563
LH Ferguson,New Zealand,-0.8627659574468085,33,2.0625,0.040690505548705305,11,2.7944583983735733,1.960863552416466,0.11790393013100436,0.26716141001855287,5.478887049189779
Shaheen Shah Afridi,Pakistan,-0.9145527369826435,32,2.4615384615384617,0.04671532846715328,7,1.9053482268037645,2.207554954810593,0.13125,0.35106382978723405,5.411375016908147
YS Chahal,India,-1.0041536863966771,33,1.9411764705882353,0.03412616339193381,9,2.8047830913206644,2.667988232640166,0.09056603773584905,0.2891566265060241,5.392962958391045
CR Woakes,England,-0.9557266602502407,33,1.65,0.03323262839879154,13,3.2664046488346785,2.266208039265489,0.08679245283018867,0.19903846153846153,5.330651204374819
B Kumar,India,-0.8761408083441982,29,2.0714285714285716,0.043154761904761904,9,2.8047830913206644,2.7347879080582693,0.07547169811320754,0.24096385542168677,5.327779125955589
JC Archer,England,-0.8169014084507042,28,1.8666666666666667,0.040229885057471264,10,3.2664046488346785,2.292347840036074,0.07547169811320754,0.22499999999999998,5.28723012478868
S Bhari,Nepal,-0.5792349726775956,11,2.75,0.10377358490566038,2,1.7903545378576071,1.8367186780156537,0.1111111111111111,0.3888888888888889,5.234729782787637
JJ Bumrah,India,-0.8503086419753086,30,1.3636363636363635,0.02722323049001815,11,2.8047830913206644,2.7565779887028197,0.08679245283018867,0.2267250821467689,5.11052021932561
MA Wood,England,-0.9169510807736063,29,1.8125,0.03598014888337469,9,3.2664046488346785,2.2155516138222433,0.06792452830188679,0.22499999999999998,5.110462170495453
L Ngidi,South Africa,-0.9402985074626866,25,2.272727272727273,0.0496031746031746,6,2.4132665786072502,2.378501574579337,0.09868421052631579,0.2669902912621359,5.07655675442212
