country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
India,0.8235294117647058,318,67,17,14,5.0,1
England,0.7894736842105263,398,28,19,15,4.760714566103713,2
Afghanistan,0.6666666666666666,397,31,18,12,4.485086900475618,3
Bangladesh,0.65,307,11,20,13,4.258169099549191,4
Pakistan,0.5333333333333333,294,13,15,8,3.6690549954464213,5
New Zealand,0.6,241,-6,10,6,3.1406980362239514,6
Ireland,0.5833333333333334,-72,4,12,7,2.942985162879598,7
South Africa,0.5333333333333333,-144,1,15,8,2.9401764162870294,8
Scotland,0.5,55,1,8,4,2.626597241389291,9
West Indies,0.4375,-132,-26,16,7,2.5497245886014777,10
Sri Lanka,0.3333333333333333,-224,-1,12,4,2.206269363046856,11
Papua New Guinea,0.3333333333333333,58,-10,3,1,1.82023339546048,12
United Arab Emirates,0.25,-153,-5,8,2,1.8026139919431121,13
Australia,0.15384615384615385,-341,-22,13,2,1.5480640113971074,14
Zimbabwe,0.20833333333333334,-751,-74,24,5,1.3360254235448448,15
Hong Kong,0.0,-173,-12,5,0,1.0,16
