bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Hasan Ali,Pakistan,0.19739243807040413,45.0,2.5,0.05867014341590613,12,6.170534954889801,3.6101726530476586,0.3142857142857143,0.3142857142857143,18,10.0,5
Jasprit Bumrah,India,0.19453125,39.0,1.6956521739130435,0.0380859375,18,10.0,3.8491963169387087,0.21428571428571427,0.25,23,9.596922008819888,5
Liam Plunkett,England,0.1711139896373057,33.0,2.2,0.042746113989637305,13,7.4841921273337855,3.8364510292066734,0.29245283018867924,0.29245283018867924,15,9.180274973312756,4
Trent Boult,New Zealand,0.18923884514435693,31.0,1.9375,0.04068241469816273,8,4.591783720463329,5.588196414650545,0.34210526315789475,0.3848684210526316,16,8.855388555143616,4
Bhuvneshwar Kumar,India,0.19673340358271868,28.0,1.2173913043478262,0.029504741833508957,18,10.0,3.511889683943293,0.14285714285714285,0.16666666666666666,23,8.0214836051105,4
Hardik Pandya,India,0.1791099000908265,31.0,1.1481481481481481,0.02815622161671208,20,10.0,3.4381033291297256,0.13095238095238096,0.1375,27,8.012498093248709,4
Imran Tahir,South Africa,0.2148809523809524,27.0,1.588235294117647,0.04017857142857143,12,8.000077895793941,3.7586044765860582,0.2,0.21666666666666667,17,7.997191214690445,4
Kagiso Rabada,South Africa,0.2079088471849866,27.0,1.5,0.036193029490616625,13,8.000077895793941,4.126270924231514,0.2,0.19999999999999998,18,7.953881988541862,4
Chris Woakes,England,0.19383259911894274,22.0,2.0,0.048458149779735685,9,7.4841921273337855,4.11029398531636,0.16981132075471697,0.24528301886792456,11,7.751998348875654,4
Yuzvendra Chahal,India,0.20166666666666666,21.0,1.6153846153846154,0.035,11,10.0,2.900234912665156,0.125,0.23863636363636365,13,7.50621072014461,4
Kuldeep Yadav,India,0.20440366972477064,22.0,1.8333333333333333,0.04036697247706422,10,10.0,2.1414920940865003,0.1130952380952381,0.2375,12,7.475127109983689,4
Adil Rashid,England,0.18232235701906413,20.0,1.5384615384615385,0.03466204506065858,11,7.4841921273337855,3.564123807339546,0.1792452830188679,0.21183533447684394,13,7.1051508944887845,4
Jason Holder,West Indies,0.1880710659898477,20.0,1.1111111111111112,0.025380710659898477,2,1.0,7.482016717633105,0.4,0.4,18,7.068745991637947,4
Wayne Parnell,South Africa,0.1730452674897119,18.0,1.6363636363636365,0.037037037037037035,7,8.000077895793941,4.207597502613755,0.1391304347826087,0.2583850931677018,11,6.940252852096032,4
Usman Shinwari,Pakistan,0.18472222222222223,6.0,3.0,0.08333333333333333,2,6.170534954889801,2.2738604315607907,0.05714285714285714,0.34285714285714286,2,6.806185636745386,4
Shadab Khan,Pakistan,0.20041322314049587,19.0,1.5833333333333333,0.03925619834710744,10,6.170534954889801,4.154464348410974,0.1523809523809524,0.18285714285714286,12,6.774422229820848,4
Chris Morris,South Africa,0.19262435677530015,17.0,1.2142857142857142,0.029159519725557463,8,8.000077895793941,4.882824884039173,0.13043478260869565,0.21195652173913043,14,6.612096269136497,4
Kane Richardson,Australia,0.18037974683544303,7.0,2.3333333333333335,0.04430379746835443,1,2.5711350284730754,10.0,0.06976744186046512,0.3488372093023256,3,6.606071301584503,4
Mitchell Santner,New Zealand,0.21674876847290642,20.0,1.3333333333333333,0.03284072249589491,7,4.591783720463329,5.817754632753846,0.17105263157894737,0.2199248120300752,15,6.588195544918744,4
Dwaine Pretorius,South Africa,0.20762942779291554,15.0,1.6666666666666667,0.04087193460490463,6,8.000077895793941,3.6472621952978566,0.10434782608695652,0.22608695652173913,9,6.560038463836588,4
Keshav Maharaj,South Africa,0.165979381443299,4.0,2.0,0.041237113402061855,1,8.000077895793941,7.4841921273337855,0.02608695652173913,0.3391304347826087,2,6.527118186753385,4
