bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
Amjad Javed,United Arab Emirates,-1.0897435897435896,0,0.0,0.0,0,0.0969133907738106,0.7168176531496389,0.0,0.0,0.13898094315328308
Rameez Shahzad,United Arab Emirates,-1.1428571428571428,0,0.0,0.0,0,0.0969133907738106,0.7168176531496389,0.0,0.0,0.132245988992373
Javed Ahmadi,Afghanistan,-0.625,0,0.0,0.0,1,0.4185169713860216,0.0,0.0,0.0,0.13199947279188767
H Masakadza,Zimbabwe,-1.1904761904761905,0,0.0,0.0,0,0.20038635701779292,0.6185583444886662,0.0,0.0,0.12730959932387942
Karim Sadiq,Afghanistan,-0.8709677419354839,0,0.0,0.0,0,0.4185169713860216,0.20038635701779292,0.0,0.0,0.12554781970664136
Gulbadin Naib,Afghanistan,-0.9444444444444444,0,0.0,0.0,1,0.4185169713860216,0.10019317850889646,0.0,0.0,0.11266762892258314
Krishna Chandran,United Arab Emirates,-1.3333333333333333,0,0.0,0.0,0,0.0969133907738106,0.7168176531496389,0.0,0.0,0.10809304993255747
Samiullah Shenwari,Afghanistan,-1.2666666666666666,0,0.0,0.0,0,0.4185169713860216,0.2791640301331808,0.0,0.0,0.09202076958530353
S Bau,Papua New Guinea,-1.3333333333333333,0,0.0,0.0,0,0.35380305724034034,0.3484584967684489,0.0,0.0,0.08453528670935426
WB Rankin,Ireland,-1.403225806451613,1,1.0,0.011494252873563218,0,0.0,0.4505470207770822,0.0,0.0,0.08377199585336742
Nawroz Mangal,Afghanistan,-1.5,0,0.0,0.0,0,0.4185169713860216,0.3579417032485687,0.0,0.0,0.07908215219479231
CT Mumba,Zimbabwe,-1.2916666666666667,0,0.0,0.0,0,0.20038635701779292,0.4505470207770822,0.0,0.0,0.07897113689741017
H Hiri,Papua New Guinea,-1.4166666666666667,0,0.0,0.0,0,0.35380305724034034,0.3484584967684489,0.0,0.0,0.07396837587068497
Shapoor Zadran,Afghanistan,-1.2564102564102564,0,0.0,0.0,1,0.4185169713860216,0.0,0.0,0.0,0.051934802206585806
K Christie,Hong Kong,-2.0,0,0.0,0.0,0,0.3484584967684489,0.35380305724034034,0.0,0.0,0.0
