match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.1,D Padikkal,AJ Finch,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.2,D Padikkal,AJ Finch,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.3,D Padikkal,AJ Finch,B Kumar,0,1,1,wides,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.4,D Padikkal,AJ Finch,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.5,D Padikkal,AJ Finch,B Kumar,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.6,AJ Finch,D Padikkal,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,0.7,AJ Finch,D Padikkal,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.1,D Padikkal,AJ Finch,Sandeep Sharma,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.2,D Padikkal,AJ Finch,Sandeep Sharma,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.3,D Padikkal,AJ Finch,Sandeep Sharma,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.4,D Padikkal,AJ Finch,Sandeep Sharma,2,0,2,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.5,D Padikkal,AJ Finch,Sandeep Sharma,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,1.6,AJ Finch,D Padikkal,Sandeep Sharma,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.1,D Padikkal,AJ Finch,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.2,D Padikkal,AJ Finch,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.3,D Padikkal,AJ Finch,B Kumar,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.4,D Padikkal,AJ Finch,B Kumar,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.5,AJ Finch,D Padikkal,B Kumar,2,0,2,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,2.6,AJ Finch,D Padikkal,B Kumar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.1,D Padikkal,AJ Finch,T Natarajan,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.2,D Padikkal,AJ Finch,T Natarajan,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.3,D Padikkal,AJ Finch,T Natarajan,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.4,D Padikkal,AJ Finch,T Natarajan,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.5,D Padikkal,AJ Finch,T Natarajan,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,3.6,D Padikkal,AJ Finch,T Natarajan,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.1,AJ Finch,D Padikkal,MR Marsh,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.2,AJ Finch,D Padikkal,MR Marsh,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.3,D Padikkal,AJ Finch,MR Marsh,4,0,4,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.4,D Padikkal,AJ Finch,MR Marsh,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.5,AJ Finch,D Padikkal,V Shankar,0,1,1,noballs,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.6,AJ Finch,D Padikkal,V Shankar,6,1,7,noballs,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.7,AJ Finch,D Padikkal,V Shankar,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.8,D Padikkal,AJ Finch,V Shankar,0,1,1,wides,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,4.9,D Padikkal,AJ Finch,V Shankar,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.1,AJ Finch,D Padikkal,Sandeep Sharma,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.2,D Padikkal,AJ Finch,Sandeep Sharma,2,0,2,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.3,D Padikkal,AJ Finch,Sandeep Sharma,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.4,D Padikkal,AJ Finch,Sandeep Sharma,0,0,0,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.5,D Padikkal,AJ Finch,Sandeep Sharma,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,5.6,AJ Finch,D Padikkal,Sandeep Sharma,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,6.1,AJ Finch,D Padikkal,Rashid Khan,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,6.2,D Padikkal,AJ Finch,Rashid Khan,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,6.3,AJ Finch,D Padikkal,Rashid Khan,1,0,1,NA,0,NA,NA,NA,1
1216534,1st innings,Royal Challengers Bangalore,Sunrisers Hyderabad,6.4,D Padikkal,AJ Finch,Rashid Khan,1,0,1,NA,0,NA,NA,NA,1
